a_firstname,a_lastname
Suzanne,Collins
J.K.,Rowling
Mary,GrandPra
Stephenie,Meyer
Harper,Lee
Frank,Scott
John,Green
J.R.R.,Tolkien
J.D.,Salinger
Dan,Brown
Jane,Austen
Khaled,Hosseini
Veronica,Roth
George,Orwell
Erich,Fromm
Celiene,Acester
Anne,Frank
Eleanor,Roosevelt
B.M.,Mooyaart-Doubleday
Stieg,Larsson
Reg,Keeland
Rufus,Beck
Alice,Sebold
Jeffrey,Eugenides
Charlaine,Harris
Thomas,Hardy
Tim,Dolin
Margaret,R.
Gustave,Flaubert
Margaret,Mauldon
Malcolm,Bowie
Mark,Overstall
Norton,Juster
Jules,Feiffer
Brandon,Sanderson
Ned,Vizzini
Frank,Miller
Klaus,Janson
Lynn,Varley
James,Patterson
Nick,Hornby
Nicholas,Sparks
Margaret,Atwood
John,Gray
Anthony,Bourdain
Michael,Crichton
Natalie,Babbitt
P.D.,Eastman
E.H.,Gombrich
Marissa,Meyer
Robert,Tuple
Becca,Fitzpatrick
Lev,Grossman
Jonathan,Safran
Robert,Ludlum
Judy,Blume
